t,ELBO,ll,kl,lmbda
7080,1.2113618850708008,1.2113618850708008,110.81763458251953,0.0
7100,1.2114405632019043,1.2114405632019043,110.83718872070312,0.0
7120,1.2115206718444824,1.2115206718444824,110.85676574707031,0.0
7140,1.2116032838821411,1.2116032838821411,110.87631225585938,0.0
7160,1.2116872072219849,1.2116872072219849,110.89582061767578,0.0
7180,1.211772084236145,1.211772084236145,110.91529083251953,0.0
7200,1.2118569612503052,1.2118569612503052,110.93470764160156,0.0
7220,1.2119436264038086,1.2119436264038086,110.95406341552734,0.0
7240,1.2120305299758911,1.2120305299758911,110.97335815429688,0.0
7260,1.2121186256408691,1.2121186256408691,110.9925765991211,0.0
7280,1.2122055292129517,1.2122055292129517,111.01173400878906,0.0
7300,1.2122924327850342,1.2122924327850342,111.03083038330078,0.0
7320,1.2123762369155884,1.2123762369155884,111.04985809326172,0.0
7340,1.2124568223953247,1.2124568223953247,111.06884002685547,0.0
7360,1.2125346660614014,1.2125346660614014,111.0877456665039,0.0
7380,1.212611198425293,1.212611198425293,111.10658264160156,0.0
7400,1.212686538696289,1.212686538696289,111.1253890991211,0.0
7420,1.2127629518508911,1.2127629518508911,111.14411163330078,0.0
7440,1.2128413915634155,1.2128413915634155,111.16278839111328,0.0
7460,1.2129205465316772,1.2129205465316772,111.1814193725586,0.0
7480,1.2130002975463867,1.2130002975463867,111.19999694824219,0.0
7500,1.213081955909729,1.213081955909729,111.21852111816406,0.0
7520,1.2131643295288086,1.2131643295288086,111.23700714111328,0.0
7540,1.2132469415664673,1.2132469415664673,111.25545501708984,0.0
7560,1.2133293151855469,1.2133293151855469,111.27384948730469,0.0
7580,1.2134114503860474,1.2134114503860474,111.2922134399414,0.0
7600,1.2134956121444702,1.2134956121444702,111.310546875,0.0
7620,1.2135804891586304,1.2135804891586304,111.3288345336914,0.0
7640,1.213661789894104,1.213661789894104,111.34709167480469,0.0
7660,1.213741421699524,1.213741421699524,111.3653335571289,0.0
7680,1.2138183116912842,1.2138183116912842,111.383544921875,0.0
7700,1.2138957977294922,1.2138957977294922,111.40174865722656,0.0
